speed,distance,weather,obstacle,ir_data,uv_data,braking_force
2,94,3,3,88.6795664244152,0,3680
87,143,3,2,136.213778030437,0,6460
22,17,2,4,13.9681399409371,0,7190
110,85,3,2,78.2377971365351,0,9350
22,133,1,3,127.444595865497,0,3910
86,174,2,4,170.103367969781,1,5680
0,70,1,1,67.8315727110337,1,4700
23,99,2,2,94.5174243711083,0,4780
68,135,1,1,125.812753027558,0,6150
10,68,2,3,62.8118277984032,0,5060
112,93,2,2,88.9823354890072,0,9410
113,21,1,4,16.6026980336141,1,10000
80,91,2,3,87.795021889562,0,7870
110,181,3,3,175.274234676173,1,6470
9,198,1,1,193.324622439522,1,1310
109,156,2,1,151.405600500738,0,7370
83,128,2,3,121.941265702835,1,6910
71,36,3,2,29.8662706906228,1,8870
88,161,1,4,157.176861872733,1,6370
100,60,3,4,55.1205999286456,1,9600
42,92,1,2,88.5572035087387,0,6140
55,49,2,3,41.8891258677565,0,7880
61,182,2,4,175.31559690024,1,4190
64,98,1,1,93.5381294205543,1,7060
34,187,2,3,178.392550794571,0,2690
39,44,2,1,41.6176333686968,0,7230
17,153,3,4,150.343753138562,1,2660
86,135,3,2,132.456435824591,0,6650
14,22,1,1,18.7226843101625,1,6840
46,106,3,3,102.280305839435,0,5520
94,22,3,1,14.4861139093535,1,10000
45,22,2,4,16.4055017091294,0,8190
83,198,3,3,193.959837316771,1,4610
18,164,1,1,159.892216503647,0,2780
81,196,2,4,190.490994094318,1,4770
48,94,2,1,86.3039361410507,0,6180
120,72,2,4,66.8522918804276,0,10000
95,157,1,1,149.641297473253,0,6840
103,92,2,1,90.4355252418494,1,8990
62,126,2,2,123.083179979165,0,5920
43,34,3,4,28.6020746416832,0,7530
73,102,1,1,98.8887485938516,0,7390
41,181,3,1,178.61740350541,1,3020
37,161,1,3,152.494042646027,0,3820
23,170,3,1,164.656128774855,0,2450
51,73,2,2,67.1124215439217,0,6960
38,168,2,3,162.492066878815,1,3460
71,167,3,3,161.061981706162,0,4940
100,32,2,4,28.2519513681325,1,10000
12,155,3,3,148.557730374361,1,2350
50,168,2,3,164.622609730399,0,4060
16,140,3,3,134.735106386532,0,3000
112,103,3,3,101.636367003688,0,8910
76,68,3,4,64.1038439130187,0,8160
105,179,2,4,174.711433523222,1,6480
34,117,2,1,112.008157691891,1,4790
116,32,1,2,29.3644787626594,1,10000
29,177,3,1,169.958505801911,1,2540
107,7,3,4,2.5589722158355,1,10000
5,194,3,3,188.534618543555,1,830
35,30,1,2,22.181351933807,0,7650
17,23,2,4,21.2433490528235,0,6760
71,60,1,2,55.7321294227207,0,8550
69,28,2,4,21.0975461691127,0,9210
10,147,3,4,139.736329945766,0,2490
113,19,1,3,11.0244509026937,1,10000
116,134,2,1,128.569626138867,0,8380
88,140,2,1,133.400413032094,0,6800
3,127,2,2,119.113789902137,0,2940
111,199,1,4,195.663464407496,1,6380
116,149,1,3,145.569562770044,0,8130
116,135,1,2,131.817311406336,0,8550
55,184,3,2,177.70649553299,0,3630
94,5,1,3,0,0,10000
71,100,1,4,91.1717147465944,0,7350
18,85,3,4,78.7576187772769,1,4750
45,141,1,2,136.199659544624,1,4820
114,69,3,3,63.7170982847654,0,10000
13,14,2,2,9.31342459311419,1,6830
64,106,2,3,99.0601201482908,1,6620
1,83,1,4,77.6572379209192,0,4360
19,19,3,4,13.239139834729,0,6780
65,63,2,4,58.2797975158866,0,7960
83,78,1,2,73.9356006612755,1,8610
15,8,3,2,3.70436801583849,1,6910
79,57,2,1,52.2549239039001,1,8840
71,48,3,1,44.6111731734077,0,8510
97,30,1,1,23.2261543248744,1,10000
106,138,3,1,134.895068825659,0,7560
112,144,2,4,141.213962640291,0,7880
15,74,3,2,68.5761276902544,1,4930
84,106,3,4,96.9596520651992,0,7420
72,132,1,1,126.161365612714,0,6440
48,109,1,2,108.346002835502,0,5930
37,119,1,1,113.876550543101,0,5080
84,27,2,4,19.390211245875,0,9990
117,117,2,3,113.667578915782,0,8940
106,171,2,4,165.997707675849,1,6770
45,173,1,2,164.83476724001,0,3860
33,7,2,3,0.868131820485062,0,8040
4,195,2,1,188.687256907277,1,950
64,134,3,1,129.276952318825,1,5580
84,139,2,4,133.700138400519,0,6630
81,87,1,3,82.6591325779244,1,8240
59,33,3,4,28.7841160704502,0,8360
89,11,2,1,4.56507850739705,1,10000
81,13,3,4,12.2516723629474,0,10000
120,84,3,2,77.8341816960852,1,9880
7,82,2,4,75.3054523173294,1,4490
117,175,3,2,171.230172613236,0,7000
8,9,2,3,8.05265997423258,0,6730
90,80,1,4,70.4400540663605,1,8900
11,166,3,2,160.824915614001,1,1970
3,171,1,1,161.998582480776,1,1820
63,98,1,2,92.4528653253004,1,7010
3,198,2,4,195.197415538536,0,810
77,170,2,4,164.697299186599,1,5350
45,112,1,4,107.197954766718,0,5690
87,70,2,4,65.7313462139839,0,8850
24,74,2,1,70.4319585625544,0,5580
70,95,2,2,87.1809321697971,0,7250
42,118,2,3,112.982540429187,0,5160
37,130,3,1,124.090230505672,1,4350
10,74,3,1,66.8788785115227,1,4680
12,23,2,1,14.9727535928614,1,6510
7,179,3,3,176.358851444369,0,1380
8,80,1,2,75.1108597297447,1,4800
16,136,2,4,129.167405882097,0,3320
2,113,2,1,108.295585384583,1,3310
80,107,2,1,101.198959578352,1,7390
62,33,1,2,27.1515197073143,1,8910
1,94,2,4,92.999391499429,0,3830
16,91,2,3,83.0337317201589,1,4670
13,175,2,3,173.894615535788,1,2000
14,59,1,4,54.2796790355616,1,5730
118,7,3,1,0,0,10000
116,92,3,3,88.6735419609071,0,9440
75,166,1,1,158.662562808867,1,5570
34,110,3,3,105.921303521207,0,4800
53,150,2,4,146.11815174136,1,4750
99,5,3,2,0,0,10000
65,19,2,3,10.8861337353993,0,9280
35,144,3,1,140.904483338488,0,3830
117,55,3,3,47.850242059952,0,10000
57,127,3,2,120.042415566116,1,5440
112,149,1,4,141.081259811416,0,7930
116,198,3,2,193.185273029344,1,6260
39,76,1,4,72.8606904803744,0,6470
51,199,3,4,193.378597841328,1,2980
100,11,1,4,8.33808359392248,1,10000
89,118,3,4,112.385676031222,0,7310
42,73,2,3,70.1123363064239,0,6510
84,168,1,1,157.223772435985,1,5960
2,53,3,3,50.6328684484649,0,4910
45,93,1,4,90.4279920605569,0,6260
56,69,2,2,61.375019995379,0,7330
22,181,3,2,175.436744796768,1,2070
62,58,3,2,51.1460007229115,0,7760
116,109,1,1,104.930519432201,1,9330
59,91,3,2,85.0303829542269,1,6620
56,11,3,1,6.8185768180717,0,8870
102,176,1,3,168.362636354981,0,6620
51,73,2,3,65.1543164797212,1,6960
113,186,2,3,179.166317997726,0,6670
37,189,1,1,184.987760564569,0,2980
68,45,2,2,42.465410428602,0,8650
19,8,2,2,2.82547294822697,0,7310
55,184,2,4,182.22913366593,0,3830
63,92,3,2,87.9334109215714,0,6790
58,5,1,2,2.80788364602862,1,9550
44,162,2,4,156.798088242341,0,3940
37,13,1,2,7.70901140258876,0,8260
90,60,1,4,53.0233864799101,1,9500
90,150,2,3,144.660246782946,1,6600
86,113,3,3,106.639446749907,0,7310
55,59,1,1,54.8585178913576,0,7780
62,124,2,1,117.643674030495,0,5980
44,109,2,4,104.437776657369,0,5530
112,168,1,3,160.758785102977,0,7360
34,192,2,4,186.569122601249,0,2540
112,90,2,4,81.564758336193,1,9500
41,188,3,1,182.558479253231,1,2810
55,200,2,2,194.200720629395,0,3350
16,42,2,3,35.7690052287886,0,6140
90,114,3,3,107.351513684892,1,7480
25,186,2,4,182.687077810196,1,2270
87,130,2,1,126.020171125831,0,7050
43,154,2,1,148.89911692852,0,4130
30,45,1,3,38.4107174796924,0,6950
93,104,2,4,101.201201571652,1,8130
11,108,1,4,101.136325495004,1,4110
62,162,1,3,157.349478644503,1,5040
88,50,1,4,44.3862213371208,1,9700
22,71,1,4,65.1762071081004,0,5770
13,119,2,4,110.526864166516,1,3680
91,39,1,1,35.9930386829786,0,10000
23,131,1,2,125.293736107615,0,4020
18,50,2,1,45.8326083034061,1,6000
120,177,1,2,174.523919655672,1,7490
41,156,1,1,148.801919364436,0,4170
5,102,1,3,96.1308045984862,0,3990
69,125,1,2,120.834790193973,0,6500
67,77,1,1,71.3867670733904,0,7840
48,61,2,1,53.1745486202492,0,7170
70,113,1,3,109.567679277142,1,6910
97,198,1,3,190.223568515009,0,5710
13,155,1,3,147.912960323561,0,2800
108,38,1,4,34.3048261691638,0,10000
16,8,2,2,3.51817985831389,0,7160
62,35,3,4,31.0225234429362,0,8450
58,85,3,3,79.8128102076194,0,6750
30,50,2,4,44.6921068150821,0,6600
25,48,3,4,42.7048445507426,0,6210
44,66,3,2,61.7212558254597,1,6620
1,191,3,2,187.136716530873,1,720
119,157,2,3,150.939080160785,0,7840
36,136,3,2,133.102755861247,1,4120
37,71,2,4,66.2887358971523,0,6320
82,161,1,2,157.645211458016,1,6070
115,8,3,2,3.05398712500557,1,10000
24,19,1,1,10.3476356492404,0,7430
99,53,3,1,47.3509514849551,1,9760
84,39,1,2,35.2968093463966,0,9830
21,134,2,3,133.838848115795,0,3630
113,172,1,4,167.65136520053,1,7290
44,177,3,3,168.635864626731,1,3290
82,100,1,3,94.7946775637472,0,7900
61,158,2,1,155.135492936174,0,4910
111,118,1,3,111.295442667268,1,8810
91,119,1,3,112.616570251723,1,7780
89,163,2,1,160.234281923427,0,6160
66,159,1,4,152.614015414096,0,5330
77,195,2,1,191.888424005762,1,4600
28,39,2,2,37.430182850324,1,6830
2,198,1,3,191.719956169953,1,960
49,77,3,3,75.5981482428259,0,6540
111,109,2,2,108.253793425294,1,8880
35,17,2,1,10.2805587975579,1,7840
23,119,1,3,118.823194704461,0,4380
62,70,2,3,64.3796491780242,0,7600
73,157,2,2,148.880829128121,1,5540
112,183,1,1,176.865682162901,0,6910
88,71,2,3,67.3835182358733,0,8870
58,185,3,1,177.649418095453,1,3750
28,107,2,2,105.500053653032,1,4790
20,101,1,1,95.08037180436,1,4770
76,200,2,4,194.054174944404,0,4400
86,25,1,1,20.4904744467836,0,10000
91,185,2,3,180.237764525092,1,5600
119,123,3,3,118.629231161847,0,8660
29,158,2,1,154.52180787973,1,3310
107,36,2,1,30.2696105411249,0,10000
113,102,3,1,98.2933219823477,0,8990
82,147,3,2,141.360216302543,1,6090
68,31,1,1,25.0728140642662,1,9270
70,23,1,3,16.4546107638322,0,9610
117,196,2,4,191.425847259292,0,6570
117,191,2,1,187.295072758416,0,6720
30,160,3,4,158.986433492314,1,3100
84,17,2,4,10.539448050005,1,10000
45,159,1,3,156.528168513158,0,4280
8,106,1,1,100.762105891564,0,4020
97,137,1,4,128.34318586345,0,7540
97,151,1,4,144.558205281058,1,7120
109,9,3,3,2.76127157884392,1,10000
16,101,3,1,99.1340123546806,1,4170
15,166,3,3,163.857225151046,1,2170
104,162,3,2,157.426940259916,0,6740
98,119,1,1,111.100460688599,0,8130
105,95,1,2,89.4174424229271,1,9200
73,77,2,4,70.2608838422186,0,7940
30,179,2,3,173.435801351603,1,2730
76,181,2,4,176.613861047485,0,4970
58,105,2,2,103.867167111791,0,6350
51,54,3,2,48.397882653515,1,7330
100,122,1,2,116.424009281519,0,8140
91,103,1,2,98.5352120342872,0,8260
93,29,3,4,20.4884331757067,0,10000
16,14,2,1,10.1706483968546,0,6980
38,166,3,3,160.449148923301,1,3320
15,34,3,2,30.5457555318794,1,6130
106,105,3,3,102.128041792851,1,8550
5,180,2,2,173.910611571789,1,1450
108,166,3,3,158.933407789373,1,6820
31,62,2,4,55.4805212980288,0,6290
10,18,2,4,12.033404052805,1,6560
45,73,2,2,68.2430330394197,0,6660
78,154,2,4,149.160307364698,1,5880
82,11,3,1,6.81711821106851,1,10000
92,143,3,1,138.247832516896,1,6710
53,96,3,1,91.4281128285266,1,6170
106,172,1,3,168.871979820687,0,6940
86,25,2,4,19.9835818658646,0,10000
19,172,2,2,170.922764640704,0,2390
96,104,1,2,100.126328836513,0,8480
82,141,3,1,133.385619758313,1,6270
107,132,1,3,124.314573302035,0,8190
6,111,2,3,105.212082404855,1,3570
95,142,3,2,140.934158120787,0,6890
95,92,1,2,84.1385512551744,0,8790
112,104,2,2,98.5594832162244,0,9080
103,181,3,2,175.145048962835,0,6120
52,153,3,1,147.385987501867,0,4410
22,59,1,2,51.0068493283285,0,6130
63,13,3,2,8.75694336104726,0,9160
1,16,1,2,11.9460688945305,1,6370
95,72,2,4,68.4051714175305,1,9190
18,98,2,3,92.2150927687833,0,4560
85,146,1,2,143.444825693219,0,6670
72,174,1,1,171.962446183596,0,5180
4,138,1,2,134.014606093777,0,2860
9,176,3,4,171.313593587143,0,1570
67,124,3,1,120.443855579127,1,6030
38,20,2,2,14.8111001528384,1,7900
61,49,3,2,44.9661662133406,0,7980
75,116,3,2,115.45079408583,1,6670
53,88,1,2,86.0894609905629,1,6810
5,79,1,2,70.1646870582063,0,4680
25,51,1,3,45.3795265609451,1,6520
79,197,2,1,194.131050037129,0,4640
37,138,2,2,130.456401931186,0,4310
50,96,1,1,90.7263637629483,0,6420
100,131,3,4,126.820534940047,0,7470
98,14,2,4,4.99532939216666,0,10000
62,18,2,4,11.0710002309756,0,9160
66,170,1,1,163.999796572231,1,5000
106,40,2,3,31.443308625544,0,10000
71,142,3,3,139.279896553531,0,5690
52,141,2,4,136.659553077809,0,4970
68,139,3,2,133.583456307054,1,5630
107,104,3,3,96.0675699730775,1,8630
18,67,1,1,63.7450726711681,1,5690
3,106,1,1,98.7010599524579,0,3770
72,19,3,2,13.1493441364506,1,9430
47,85,1,3,78.3361435961786,0,6600
92,147,1,4,142.574172727429,1,6990
111,176,1,4,171.561683743907,0,7070
111,53,1,4,47.8096018833434,0,10000
42,65,1,4,58.0419959679769,0,6950
3,170,2,4,167.701469550187,0,1650
99,62,1,1,57.2301389952965,0,9890
52,46,3,1,40.3644216388913,1,7620
32,78,1,2,73.6042591630645,1,6060
93,13,1,2,10.3110682628742,0,10000
40,53,3,4,44.5964178258644,1,6810
64,130,3,4,125.356508655769,1,5700
68,79,3,1,77.4695004448973,0,7430
55,128,3,3,119.945918421853,0,5310
91,72,3,2,68.2370407077379,1,8790
18,146,1,4,141.940504056333,1,3320
25,108,1,3,100.927206237695,0,4810
67,97,3,3,90.7453991268927,0,6840
29,66,2,3,58.931021592845,1,6070
93,147,1,2,142.779560684093,0,7040
46,181,1,4,175.12892656079,1,3670
9,79,2,1,73.6688566828651,1,4680
81,200,3,2,195.731799310359,0,4450
96,114,2,1,112.769335157233,1,7980
53,47,2,1,40.2223428101121,0,7840
86,51,1,3,47.1691142157451,1,9570
53,37,1,1,32.3121114954326,0,8340
49,100,2,4,91.3973850481562,0,6050
108,177,3,3,174.710191899441,0,6490
54,22,1,3,16.0247601050924,0,8840
115,152,2,1,147.529365053822,1,7790
80,162,3,2,156.961902103535,1,5540
38,138,1,2,134.875722743738,1,4560
108,36,1,3,29.8870272507039,1,10000
113,127,2,4,118.220526019988,0,8440
94,124,2,3,119.174951425678,1,7580
94,160,1,4,155.391839443706,1,6700
47,69,1,1,62.1400144509734,0,7080
66,54,1,4,54.9794874221807,0,8480
64,71,3,1,63.4181321678133,1,7470
103,38,1,3,33.1235369404725,1,10000
94,197,1,2,189.849065891376,0,5590
44,37,3,2,33.1664768488113,1,7490
86,45,2,2,40.0913977326821,0,9550
7,97,3,3,95.7854739484437,1,3840
55,57,2,2,51.149567678853,1,7640
83,139,1,3,133.169886691245,0,6780
49,144,3,2,138.288179408399,1,4530
29,66,3,2,58.4862093017045,1,5870
114,35,1,1,34.6221026337201,0,10000
111,12,1,2,4.07894757490593,1,10000
32,44,2,1,35.7430684515025,1,6880
111,136,3,3,130.271779200349,1,7870
14,15,3,4,9.09490350334184,0,6650
39,177,1,2,172.044561811829,1,3440
46,101,2,4,97.1516019225212,1,5870
40,65,3,2,60.316926273519,0,6450
66,49,1,4,43.8250551593032,0,8630
109,94,1,2,92.1050541834429,0,9430
25,131,1,3,124.901623389516,0,4120
118,177,3,1,175.15988054912,0,6990
102,132,2,4,127.282412087669,1,7740
0,75,3,1,72.4704826436552,0,4150
108,134,1,2,128.924856929237,0,8180
47,83,3,4,74.8182653578349,0,6260
38,11,2,1,3.72791338714998,0,8170
66,48,3,3,45.3472291855371,1,8260
42,141,3,1,136.583412770878,0,4270
82,75,3,3,72.6327766460565,0,8250
102,54,1,2,47.4520050037914,0,10000
17,102,3,4,98.1839345481004,0,4190
112,58,2,3,54.9858369457192,1,10000
3,69,1,2,67.6823280685298,1,4880
76,31,3,2,28.998577025696,1,9270
37,125,2,1,120.32503870905,1,4700
41,67,1,2,61.1806213114323,1,6840
70,22,3,3,15.4942642861808,1,9240
50,187,1,3,182.087502126453,0,3690
71,127,1,4,124.739481428386,1,6540
12,107,1,2,104.322013902043,0,4190
77,27,1,3,22.5626660873864,1,9840
67,50,2,1,49.4693034981426,0,8450
24,162,2,1,156.494467038327,1,2940
4,198,2,4,193.010028983125,0,860
46,21,2,2,13.8174504810148,0,8270
113,25,3,2,18.7153484980451,0,10000
35,26,1,2,18.5338104224756,1,7770
9,76,2,2,70.241330001328,0,4770
11,84,3,2,77.4196469888001,0,4430
89,15,3,4,11.9210560511954,1,10000
56,143,2,1,136.46086445641,0,5110
103,128,2,4,127.654573617181,1,7910
113,73,2,4,70.5618075373911,1,10000
5,135,1,3,131.584422258567,0,3000
37,103,3,3,96.4000442859033,1,5160
77,50,1,3,44.6439835716564,1,9150
119,186,3,2,183.494887886684,1,6770
120,160,3,4,154.461736476676,1,7600
34,31,1,2,23.7291345750976,1,7570
9,107,3,1,103.058038238933,1,3640
83,168,1,4,162.473040939212,1,5910
40,93,2,4,88.8343891432016,0,5810
51,162,2,4,157.559178680643,0,4290
77,14,2,2,9.5326055862897,1,10000
58,148,3,3,142.662936669849,1,4860
40,63,1,3,56.2290791401741,1,6910
24,80,1,2,74.915453414618,1,5600
37,174,1,1,169.156012970996,1,3430
87,64,3,4,58.4210101369266,1,8830
101,106,1,4,102.536985262188,1,8670
32,8,2,3,2.9649347513918,0,7960
71,165,3,1,159.304652163528,0,5000
19,78,3,1,71.729185551545,1,5010
111,23,3,1,20.046556413201,0,10000
84,148,1,1,145.43434196024,0,6560
43,61,3,3,56.7634381792731,1,6720
78,9,1,2,2.28966892011673,1,10000
15,45,2,1,40.7567149006404,0,6000
112,49,2,1,41.8780262314416,0,10000
114,78,1,4,72.5582488646126,0,10000
3,124,3,3,115.90392272992,0,2830
89,93,2,2,86.1580292145987,1,8260
106,187,2,2,183.277802308734,0,6290
73,192,2,4,187.252914906031,0,4490
41,49,3,1,44.6375637382644,1,6980
118,75,2,2,68.7463104039849,0,10000
81,146,1,2,146.403513874423,1,6470
24,20,1,1,12.0700198513786,1,7400
90,30,2,2,21.6975332422856,0,10000
92,12,2,4,6.41353079585422,1,10000
61,171,2,3,167.000288668847,0,4520
83,175,3,1,169.790994467738,1,5300
20,124,2,2,117.536276121123,1,3880
68,193,1,1,186.789603001582,1,4410
118,108,1,3,97.694351208153,0,9460
89,136,3,3,128.625090402561,0,6770
107,119,1,2,108.226821881918,0,8580
21,126,1,2,121.943200465347,1,4070
98,29,2,3,22.8957836332395,1,10000
111,98,1,3,91.0365210501298,0,9410
37,128,3,1,121.501668110431,0,4410
34,90,3,2,86.314795812366,1,5400
43,114,3,1,107.568787049453,1,5130
41,85,1,1,80.9615653475131,0,6300
76,143,3,2,137.24454189195,1,5910
17,16,3,4,7.84048200298288,0,6770
28,176,1,2,172.631249314434,1,2920
42,150,1,2,146.368835531999,1,4400
66,50,3,2,42.4542665273293,1,8200
33,28,1,2,20.7740171197525,1,7610
52,45,3,2,38.5043140516586,0,7650
45,135,3,4,131.902673843371,0,4600
53,180,2,4,176.253287936144,1,3850
79,179,1,4,175.102415031953,1,5380
28,122,1,2,119.385687436863,0,4540
17,25,1,3,20.35394541054,0,6900
88,117,3,2,110.194377115405,1,7290
115,46,3,3,40.9237036683134,0,10000
15,112,3,4,106.499489144251,0,3790
34,21,2,2,14.6378682388674,0,7670
42,60,3,3,52.973652653887,1,6700
18,198,3,1,187.044968315703,1,1360
112,81,3,1,73.6431363443443,1,9570
4,168,2,2,163.281225394416,0,1760
64,195,2,2,190.98746860648,1,3950
50,138,2,4,131.228467868877,1,4960
28,155,2,3,150.975544450385,1,3350
73,143,3,3,138.144332944961,0,5760
28,71,3,1,69.3041324958214,1,5670
83,52,2,3,46.2831544202949,1,9190
117,44,3,4,37.1351449290742,0,10000
54,175,2,4,173.703633837607,0,4050
85,111,2,1,103.420517336481,0,7520
71,53,2,1,50.9767225332389,0,8560
108,34,3,1,29.3540864859593,1,10000
37,42,3,4,34.5318967179533,1,6990
63,72,1,1,66.6093002162353,0,7790
5,152,1,3,147.045267832109,0,2490
18,7,2,3,3.86602254896014,1,7290
14,30,3,4,26.4042176253433,0,6200
38,105,2,1,98.4658009930066,0,5350
39,68,1,1,60.0314106993009,0,6710
71,64,2,4,56.5729499637571,0,8230
58,63,2,2,59.4832164885513,0,7610
50,90,2,3,84.8841783132249,0,6400
116,74,3,1,70.3957527426586,1,9980
45,165,2,4,159.168648950904,1,3900
86,95,3,4,87.6218700046597,0,7850
22,176,3,3,169.176729994274,1,2220
37,82,3,2,75.4962220006231,0,5790
63,56,1,1,53.729209751233,0,8270
8,61,3,1,56.3672543756342,0,4970
98,136,1,1,130.193975188594,1,7620
40,55,3,2,47.7418511241599,0,6750
19,117,2,1,114.27794311226,0,4040
64,49,3,3,43.0317384994315,1,8130
53,82,1,4,77.2802036902293,0,6990
14,21,1,1,14.5750715150115,1,6870
78,130,3,4,125.220045537073,0,6400
57,114,2,4,111.678923940084,0,6030
4,60,2,2,54.1060019261341,0,5000
100,159,1,2,159.060556211793,1,7030
39,183,2,3,174.420140605438,1,3060
108,129,3,4,119.703277357049,1,7930
29,93,2,4,88.280640724479,0,5260
109,78,3,2,71.8470886607247,1,9510
108,122,1,1,116.110215256315,0,8540
17,104,1,2,97.8379824251642,0,4530
72,143,2,1,140.737501045344,1,5910
52,109,2,3,104.491041123675,0,5930
73,155,1,4,149.849371861639,1,5800
71,32,3,2,25.1567733128225,1,8990
103,145,1,1,139.078213405111,1,7600
11,47,3,1,44.9638866462204,1,5540
20,73,2,4,68.5164820936418,0,5410
3,47,1,2,42.1535720751736,1,5540
59,45,1,2,39.0453906654362,0,8400
62,75,1,1,72.5046574605299,1,7650
116,131,3,3,127.430551541458,1,8270
85,52,1,4,48.192426632314,0,9490
50,41,2,4,34.2726662933949,0,7870
120,178,1,1,174.308886275412,1,7460
18,137,1,3,129.582500949928,0,3590
49,108,3,2,100.144270436273,1,5610
17,89,3,3,81.1073304623738,1,4580
69,148,1,1,139.201133422142,1,5810
31,34,1,1,31.5591258155726,1,7330
80,126,2,3,117.775141374207,0,6820
23,109,1,4,104.389727175565,1,4680
49,130,3,2,122.876908618594,0,4950
89,119,2,1,111.406312594603,1,7480
18,144,3,1,141.260632738643,1,2980
39,72,1,4,71.4368199188282,0,6590
95,120,1,1,115.682163491643,1,7950
65,159,1,4,153.465957679393,0,5280
32,123,1,1,115.377099685121,1,4710
13,122,1,2,120.419741325379,0,3790
21,72,2,2,65.3280175276477,1,5490
44,8,2,1,4.85562735194912,1,8560
7,80,3,2,76.3219508449415,1,4350
62,11,3,2,6.86203022293528,1,9170
115,14,2,2,11.1977291471132,1,10000
100,197,1,1,189.113067343406,0,5890
17,126,1,1,120.830340180665,1,3870
72,166,2,4,161.473831433849,0,5220
77,36,3,1,28.3338505958043,0,9170
66,165,3,4,158.558889468177,1,4750
100,65,3,1,60.8762502842802,1,9450
110,93,1,3,85.3339822502617,0,9510
29,76,2,3,70.3681246531988,1,5770
66,170,3,4,166.730091113174,1,4600
49,134,3,4,129.37475627134,1,4830
94,74,3,4,68.8406821679724,1,8880
6,196,3,3,196.195014545032,1,820
120,96,3,3,89.9501944691038,1,9520
21,73,1,1,69.2629222440351,0,5660
34,48,3,4,43.9283006491289,1,6660
7,6,2,3,0,0,6770
85,125,3,4,119.76516715072,0,6900
98,145,1,4,135.281827550602,0,7350
83,12,3,2,6.29159036322618,0,10000
52,176,2,3,171.469343834828,1,3920
68,110,3,3,106.171783265258,0,6500
31,191,1,4,187.460742386169,0,2620
62,16,1,3,13.5339294634493,1,9420
107,80,1,2,79.2911796820294,0,9750
108,34,2,3,31.4597658698294,1,10000
103,110,1,3,106.3046304797,1,8650
76,173,2,3,166.254472963961,0,5210
105,9,1,1,1.25505421680656,0,10000
82,191,3,3,184.278671180141,1,4770
57,107,3,3,101.896048356773,1,6040
65,179,1,3,175.004009470824,0,4680
72,69,1,3,64.1530783607587,1,8330
11,136,3,3,128.252917216875,0,2870
77,193,2,4,186.661851514644,0,4660
28,113,2,2,109.558752555255,0,4610
29,96,3,1,89.0240537480252,1,4970
74,48,1,3,40.8697333904272,0,9060
3,29,2,2,21.9646435085405,0,5880
96,76,2,4,68.734255618329,0,9120
98,64,2,4,59.5629363265428,1,9580
25,12,1,2,4.95767013724309,1,7690
72,19,3,2,17.3043713345799,1,9430
6,197,1,3,194.269710193112,0,1190
2,182,3,2,178.301342272066,1,1040
87,10,1,2,6.15382309567139,0,10000
78,69,3,3,62.7353501845076,1,8230
71,113,3,4,104.556478210118,0,6560
47,170,1,3,165.269889602702,1,4050
117,136,2,4,133.31283302006,0,8370
27,177,3,3,170.963946660272,0,2440
98,65,3,4,57.3133352433888,1,9350
70,27,1,4,21.0190630921265,0,9490
113,33,3,4,28.4204415729355,1,10000
103,71,1,3,64.9319314289715,0,9820
38,28,1,2,23.1163530912435,1,7860
